ticker,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS
ADANIENT.NS,0.10069873088636926,0.06191806741426068,0.018775681296185343,0.012501514661378863,0.03243112350237588,0.02656896222473565,0.030786704843328096,0.02934368784293813,0.017473110509543838,0.0320897879825568,0.01320657078402908,0.025217533105342676,0.027151134285415005,0.02208862842618202,0.023006375743847538,0.02554716323835132,0.03240481089179015,0.017522978437450563,0.01867907314317035,0.024737580924359882,0.029049270442087965,0.031690775527139003,0.007761591427474148,0.019489581337355247,0.023166127834324608,0.017683498794879397,0.010252144231523534,0.03511111582852504,0.017609846114444185,0.029890243944195993,0.028129251260767436,0.020157197963629005,0.016356159879278347,0.02935574706474491,0.02401200208865496,0.03176572024501659,0.02440577872179533,0.019859268791930822,0.027224511314683224,0.04802438955115489,0.021114405940469313,0.022234071355282357,0.04102531679900325,0.014608262797723138,0.015675148560278008,0.01615721535493369,0.023228996789971583,0.023080838240169606
ADANIPORTS.NS,0.06191806741426068,0.06996714410373109,0.012018461651550528,0.011550087929285585,0.0247115690658626,0.021708237873787405,0.025276178035939463,0.023021779056270595,0.015976789545967762,0.025783113744379388,0.011331841059387058,0.019860773606562396,0.021216796194819573,0.016830570430470763,0.017457621954710064,0.020295539311632808,0.02218650690284529,0.013703104909852281,0.014968756929255839,0.018990828151574626,0.0216532331894259,0.024266752483972844,0.008183034788873705,0.01649887056160544,0.022723817453293705,0.011742723920187636,0.009105345661394978,0.02557298110143696,0.012438376110546464,0.025016373917388667,0.023660019141631128,0.01702977443516099,0.014917466154465726,0.023914067627136503,0.014466521386272508,0.024796714915553138,0.02578912920433747,0.017711769448386358,0.020297222093071655,0.03562011427743874,0.015928194638123835,0.015534395981993297,0.03428108796871077,0.010158524787105194,0.010171096190940532,0.012872584622906223,0.01838229011451428,0.016077741185734077
APOLLOHOSP.NS,0.018775681296185343,0.012018461651550528,0.040120108409630394,0.009436756330149147,0.010358164136078348,0.014300767576557552,0.012408857929540613,0.013934879507272983,0.01227955601184058,0.011678499822929927,0.00862198559745665,0.013285659231819803,0.006570748145288203,0.015096055014834452,0.012585778294343434,0.01414902949796353,0.010255941919290846,0.00838846429912086,0.008709318493165556,0.012874856689281015,0.01353472967211972,0.009552569459457594,0.007357140801002306,0.010543373716310202,0.010614470280712109,0.008639592673195261,0.002494000002923695,0.01335056761136119,0.010165328671778202,0.010693815878137787,0.017531843148423522,0.006976268350550324,0.010811274583024364,0.009701328493081758,0.01162437885073485,0.010476424380137964,0.010606817591047969,0.009089131617573434,0.010463143004422484,0.019847812412210314,0.01094980367774106,0.012727460226991455,0.010359907390893205,0.008835185922005124,0.006464273419526768,0.00856313097283257,0.011346393656251725,0.010613233703944864
ASIANPAINT.NS,0.012501514661378863,0.011550087929285585,0.009436756330149147,0.04511065166533654,0.00634837044210054,0.011072442017871423,0.012539907385461098,0.009169484073732725,0.010376676524651974,0.007130730621478294,0.010255306186479464,0.010219429811006887,0.005240096215466376,0.006291908932660586,0.00962706480213318,0.00945584871259457,0.007132968109335042,0.009049076105699777,0.005381452284360907,0.009704398351428202,0.01370306932088963,0.00491038601438539,0.011699332759539351,0.00783138795248164,0.006453899967177703,0.004608015576796801,0.006997091971411484,0.00818989143876799,0.005429703894709582,0.008408182541732673,0.012965045665057863,0.01253219652019262,0.01404227439469524,0.008878503199462935,0.0014935901240566906,0.010034617780434834,0.011824583833406203,0.008171605243004674,0.007721896969215365,0.01254899891400633,0.00991712802613601,0.012284144936936752,0.0075974724369504325,0.007881833505087832,0.003269840877346579,0.00529265601649039,0.011595774062644346,0.00543493106387852
AXISBANK.NS,0.03243112350237588,0.0247115690658626,0.010358164136078348,0.00634837044210054,0.04857071176921379,0.01449927612960242,0.021306170957805293,0.018769427446882748,0.010242820497164755,0.014885314219025635,0.005961715619464906,0.013172801939727044,0.01514848209316197,0.008703077335599501,0.014262439931661826,0.015258124017832013,0.01826973679937452,0.015512340301659787,0.013703736482907639,0.01452639413681103,0.01448902377951781,0.01834689744639146,0.006479132021356689,0.012369398863822321,0.014166726010572981,0.014164407558002114,0.007290533973727623,0.023043665246773773,0.01779397651351962,0.019435282298996392,0.011831893755907938,0.011327025806740897,0.011682556903398353,0.018394034728587298,0.015798663474485965,0.01398799499560267,0.014847180361581211,0.011955470862539137,0.017961218977163382,0.032106611582751125,0.008202410948153221,0.012362796241044456,0.02367201112804162,0.010429030375046252,0.012792413488254236,0.0077370061933023345,0.01335676704236548,0.00861796983463183
BAJAJ-AUTO.NS,0.02656896222473565,0.021708237873787405,0.014300767576557552,0.011072442017871423,0.01449927612960242,0.051596074671578104,0.01768285410507286,0.014920921747308805,0.014242654219138829,0.014753045733033397,0.012214884917626196,0.011018416460565953,0.010960664910288284,0.020117679052244965,0.012113011451477746,0.024526197790333666,0.014860826928965041,0.016870546240956175,0.009281662143455091,0.012482311312216108,0.036041278476682995,0.020291930064697834,0.009140475739058853,0.013273874830517427,0.013372277580323803,0.013124313119148768,0.0028026755479901196,0.025451175921566052,0.011537390534586831,0.017658438173146114,0.025276912459826755,0.020118720688751347,0.01706105174362636,0.013228608707371244,0.01463752975579925,0.014064414462775595,0.016433051698435112,0.011345994962578501,0.010643297793481384,0.02767112603899763,0.012171765703272332,0.015152952532678867,0.02609848311468488,0.01066098834802742,0.016638647326849963,0.014651830500707518,0.015036474519988633,0.01664172000631723
BAJAJFINSV.NS,0.030786704843328096,0.025276178035939463,0.012408857929540613,0.012539907385461098,0.021306170957805293,0.01768285410507286,0.05196080612666219,0.04062459824110014,0.010536656082055689,0.015490881696083595,0.010883993147624584,0.015785530676008543,0.015117639595125517,0.014945767400791144,0.011569059767545572,0.01573650606293504,0.016663819813104823,0.015962489540765904,0.013370505598051302,0.010284015808755462,0.019614939790940002,0.020595360838877492,0.006551871436020299,0.012719466221399904,0.014145528826241443,0.01498827060745249,0.009262101410540131,0.018914450959346085,0.014981490567526913,0.016988931823446064,0.02165323947238293,0.013914671228164697,0.014128756538074515,0.016190134254392394,0.01478863077342947,0.018412683587718547,0.017711736733976698,0.011958689289183574,0.015175531470285922,0.032322389247152486,0.0093181229092875,0.010683766847846906,0.02209855452547527,0.013250488704887285,0.013487898782597917,0.011141240754969474,0.014518864841427503,0.011351158264317665
BAJFINANCE.NS,0.02934368784293813,0.023021779056270595,0.013934879507272983,0.009169484073732725,0.018769427446882748,0.014920921747308805,0.04062459824110014,0.06707350240964313,0.007269179802120676,0.015434556678308895,0.007896743843955755,0.010135743849715656,0.01758384170151082,0.015623972306189417,0.011858326483662739,0.0141849663703083,0.015534440064062523,0.010486281023321194,0.013144059535951493,0.008085028469285322,0.01629083355341819,0.018404447867627637,0.0030489679483826563,0.01330197547114801,0.011059886327307918,0.008717268605226603,0.007253288996923045,0.017019018606407116,0.01781677694211537,0.016844779691464543,0.01855373151794198,0.01575879459228784,0.011987910402550775,0.015527576171496714,0.012724959423621155,0.012785949093892414,0.012856506641502933,0.010066260133282046,0.01652145903113446,0.036304949233484644,0.007203374901905126,0.007920831904593861,0.01991721293642764,0.00868956747557668,0.006394778332151582,0.01002301246549562,0.013553903453697596,0.006435679856610336
BHARTIARTL.NS,0.017473110509543838,0.015976789545967762,0.01227955601184058,0.010376676524651974,0.010242820497164755,0.014242654219138829,0.010536656082055689,0.007269179802120676,0.04025066369699006,0.01149724444083821,0.008564161926444208,0.00788689346260116,0.005085806989935599,0.008889188425040544,0.00916463793248504,0.01300965874056898,0.011426675904000417,0.014309439443529434,0.008053839388378465,0.010743938229053514,0.01256144859622658,0.012767502041583431,0.005182963333741667,0.010583013571921204,0.006545147034369618,0.011403496162876158,0.006740681822924563,0.013625015158137207,0.01053570532977288,0.011826950973424465,0.01722323695063754,0.011069837373823329,0.011459192979524089,0.007129590843258548,0.00689666687818466,0.011433099606157102,0.014495207625300929,0.01103023201859857,0.008600553711833573,0.016306350521813735,0.012003385572919753,0.012227298446813998,0.012789452892491646,0.009616049197184284,0.012026868809792243,0.012492739134841094,0.00830344796158602,0.009663708545895693
BPCL.NS,0.0320897879825568,0.025783113744379388,0.011678499822929927,0.007130730621478294,0.014885314219025635,0.014753045733033397,0.015490881696083595,0.015434556678308895,0.01149724444083821,0.06546219498277697,0.0069066436926573235,0.014155453113498247,0.014569795095049748,0.009941983085573716,0.008888333341504327,0.012189716030430295,0.01876209839718649,0.009620191489437992,0.00927019254222908,0.016996936507268225,0.015250193539173252,0.018326705582428163,0.004150469539824369,0.01011349343397036,0.013823681584372239,0.009913979819616428,0.008376624459087803,0.02458194128471001,0.010809780160637354,0.02040510698410199,0.017166809032038533,0.008175403489771771,0.008804403352894745,0.02043784618172948,0.015696664706318586,0.016826518088123854,0.019516257131279767,0.014580484495159089,0.01633074108665699,0.025217518504155125,0.010913098094039626,0.015200323454789597,0.02840955152974156,0.010884988521663723,0.011707420201303866,0.014027814303714237,0.01412974903758003,0.015099875861794447
BRITANNIA.NS,0.01320657078402908,0.011331841059387058,0.00862198559745665,0.010255306186479464,0.005961715619464906,0.012214884917626196,0.010883993147624584,0.007896743843955755,0.008564161926444208,0.0069066436926573235,0.039958725216349515,0.005765498514985013,0.0002470885522992773,0.00529518751010154,0.0027810522764749384,0.012635457780835226,0.006609819247522736,0.006087358576152759,0.0028861673875434754,0.005644671899058629,0.01089588818520479,0.002316991894042328,0.014164867583015387,0.00435101588819958,-0.0015746505654884013,0.007532016847199532,0.008614170170778422,0.011304717661592061,0.005109637754077986,0.006891395498073261,0.012320956800794248,0.008836153719144002,0.019793628794838272,0.007577765676282982,0.0029554674938909796,0.008532023250370903,0.005030756387461789,0.00307516489548796,0.0032607199355489396,0.008545102335982562,0.005929048335790241,0.017208003246108623,0.009685587368787251,0.007924633907919325,0.004960567007286499,0.010316066626326304,0.007420331736887547,0.006060609244101453
CIPLA.NS,0.025217533105342676,0.019860773606562396,0.013285659231819803,0.010219429811006887,0.013172801939727044,0.011018416460565953,0.015785530676008543,0.010135743849715656,0.00788689346260116,0.014155453113498247,0.005765498514985013,0.04194231617564158,0.011160811884047063,0.019920018874818587,0.019831218206710674,0.011784921232153227,0.01476283459604153,0.009786421554968604,0.008105930861691594,0.01366865505193129,0.013206272963600873,0.0178214644168718,0.0082451874798566,0.006603888347691042,0.014379723474153182,0.00818611237074102,0.006779204101136493,0.01691921172896442,0.00695358684213665,0.014998913319965687,0.015991776489242254,0.01059953785409261,0.007226739564946726,0.01530041237760252,0.014114937463556017,0.015285412785474444,0.014700434586869935,0.014564612708732301,0.012445803921331029,0.021088968647288674,0.01706351704347553,0.007684758975460436,0.020190842911807456,0.0075809761171566166,0.007335885544857995,0.009469066816992514,0.011264745880175389,0.010535312348273146
COALINDIA.NS,0.027151134285415005,0.021216796194819573,0.006570748145288203,0.005240096215466376,0.01514848209316197,0.010960664910288284,0.015117639595125517,0.01758384170151082,0.005085806989935599,0.014569795095049748,0.0002470885522992773,0.011160811884047063,0.04496545323342406,0.008312066696438924,0.011613939556038172,0.005279871284211534,0.013094195650860285,0.010491481951261282,0.009419314111212464,0.009798138944061577,0.013608122393158097,0.02823095117798937,0.003921381920615585,0.009605303825734579,0.010494201535496501,0.00650668631858996,0.004356171532261631,0.017546156337782615,0.008601970671479525,0.015624802740949763,0.012872694196943663,0.007020803823466845,0.00527130040749247,0.020345085730068095,0.023862965288094676,0.014030424089646264,0.014399719344464554,0.009394964909867824,0.011284809985690022,0.023879122497533652,0.007883345666257728,0.002519731746336269,0.026212431233841055,0.00847830885447927,0.00659771689847776,0.008215341266619203,0.01040521894977986,0.009857742497756158
DIVISLAB.NS,0.02208862842618202,0.016830570430470763,0.015096055014834452,0.006291908932660586,0.008703077335599501,0.020117679052244965,0.014945767400791144,0.015623972306189417,0.008889188425040544,0.009941983085573716,0.00529518751010154,0.019920018874818587,0.008312066696438924,0.06251434829206373,0.015401302048821125,0.013767638708710254,0.010255452603483758,0.015059283667335076,0.007230643714033434,0.007492065325910051,0.015109165108486932,0.0201667600888436,0.0010850019481458638,0.006163185786361511,0.01912605611581765,0.011139663838211487,0.0018080734149210785,0.01724805994002059,0.007585766515624385,0.0156041325897072,0.01481035642797564,0.010447655760487775,0.005750483882261973,0.007689421762552381,0.014199693688622964,0.011165041573869534,0.010806094868030462,0.007400646955820667,0.013633057926210085,0.021511084970976892,0.018500497833660798,0.007746388965919558,0.020271939983362134,0.01005340332017061,0.01440262954534397,0.009790550898342128,0.009829867618346318,0.017714102484877696
DRREDDY.NS,0.023006375743847538,0.017457621954710064,0.012585778294343434,0.00962706480213318,0.014262439931661826,0.012113011451477746,0.011569059767545572,0.011858326483662739,0.00916463793248504,0.008888333341504327,0.0027810522764749384,0.019831218206710674,0.011613939556038172,0.015401302048821125,0.04357790176150259,0.011405463979033683,0.013834770048485132,0.01197015900194152,0.006757524338096465,0.01133600823081967,0.01159769861609193,0.018553954058807807,0.002119499751818905,0.008535547613087942,0.01310564490191507,0.012713011021779044,0.0036078214444087015,0.016003179356145397,0.007938860854865127,0.015594434729425045,0.01675115842451537,0.011522864171607557,0.004423622927465479,0.008555052835149872,0.013071710185657294,0.007166456320420304,0.012431885155616374,0.009470350355227216,0.013906141918105954,0.02150816158363079,0.01659956741236373,0.008144547128911625,0.018596208962256017,0.009400289835051069,0.009470830993667087,0.009040019844138922,0.007373506282391251,0.012478371325878266
EICHERMOT.NS,0.02554716323835132,0.020295539311632808,0.01414902949796353,0.00945584871259457,0.015258124017832013,0.024526197790333666,0.01573650606293504,0.0141849663703083,0.01300965874056898,0.012189716030430295,0.012635457780835226,0.011784921232153227,0.005279871284211534,0.013767638708710254,0.011405463979033683,0.04677749596387859,0.014633087549558752,0.008658127829378288,0.007402107783900398,0.009656822049345376,0.02182697745525141,0.014822658625695404,0.007603437962182947,0.01090683073978755,0.012102080683594165,0.007806921136722391,0.0057218851387558995,0.02343219929030298,0.01234488355955591,0.01752632673078013,0.018648561059573847,0.01980153917487592,0.012463472736543461,0.01218878665100512,0.010846884816962034,0.013381613828036291,0.014183500876886461,0.012576520590720165,0.013786992280900247,0.021847407031699646,0.007873756135168775,0.013495166262114769,0.01977676369556463,0.00486886982624856,0.009203344109597,0.009797022518309976,0.01353114689010056,0.009385099758549412
GRASIM.NS,0.03240481089179015,0.02218650690284529,0.010255941919290846,0.007132968109335042,0.01826973679937452,0.014860826928965041,0.016663819813104823,0.015534440064062523,0.011426675904000417,0.01876209839718649,0.006609819247522736,0.01476283459604153,0.013094195650860285,0.010255452603483758,0.013834770048485132,0.014633087549558752,0.04336022282183708,0.01270821546475937,0.012552349919795064,0.01609779466866323,0.014307452168594432,0.024049362938662906,0.005815651586783408,0.011632703128429641,0.009171240544367461,0.012169339872707546,0.006002405368422955,0.02735393630505676,0.013158056133514971,0.0192226637226326,0.016394651891440886,0.011089798722812828,0.011250508264851211,0.016172281546306202,0.011907198106341698,0.014768162412387667,0.014279791214935115,0.016787381710324102,0.01502499670101364,0.028877214029264645,0.011362541491121593,0.013646890134867353,0.027769559344037437,0.009881474104502234,0.010869483329359142,0.010184630676371813,0.021883889698719242,0.013427005920386901
HCLTECH.NS,0.017522978437450563,0.013703104909852281,0.00838846429912086,0.009049076105699777,0.015512340301659787,0.016870546240956175,0.015962489540765904,0.010486281023321194,0.014309439443529434,0.009620191489437992,0.006087358576152759,0.009786421554968604,0.010491481951261282,0.015059283667335076,0.01197015900194152,0.008658127829378288,0.01270821546475937,0.06080633885744239,0.008746845379521204,0.0103759869098837,0.01645420979658726,0.020168178448666765,0.006330078065477984,0.01111192905282971,0.005369754940111265,0.0455135362071351,0.005801375839961293,0.020869043320554333,0.011653716338071928,0.020265184020566932,0.017561864828631056,0.009331533494992189,0.009810460386854944,0.011576967965316336,0.015819683197091514,0.011282576954672717,0.014499149156591876,0.01204908110766793,0.009309652103185632,0.021326284073995564,0.00942345556631914,0.008861264653080863,0.023417129074331352,0.03514818100402164,0.042706590873669896,0.010675753778001137,0.009354522169834196,0.03650089310963009
HDFCBANK.NS,0.01867907314317035,0.014968756929255839,0.008709318493165556,0.005381452284360907,0.013703736482907639,0.009281662143455091,0.013370505598051302,0.013144059535951493,0.008053839388378465,0.00927019254222908,0.0028861673875434754,0.008105930861691594,0.009419314111212464,0.007230643714033434,0.006757524338096465,0.007402107783900398,0.012552349919795064,0.008746845379521204,0.025951668662349655,0.010666680253337606,0.008623493113028843,0.011457380186735339,0.005085820649582333,0.012930864289519645,0.0034448205350291958,0.008200271559878305,0.00592045585869548,0.01265300452768223,0.012568968899805,0.012124506149377335,0.012302893267204903,0.006818293067887748,0.00474040487295622,0.00858755422322544,0.005204666443872646,0.012675077859327222,0.01301184061034001,0.009693469969931133,0.008052760409692055,0.023117510530657255,0.005078796628782796,0.009714951803324084,0.010778421697670827,0.0062825319860045714,0.005510955735257761,0.004561396965045999,0.009339478946569607,0.005454599332691197
HDFCLIFE.NS,0.024737580924359882,0.018990828151574626,0.012874856689281015,0.009704398351428202,0.01452639413681103,0.012482311312216108,0.010284015808755462,0.008085028469285322,0.010743938229053514,0.016996936507268225,0.005644671899058629,0.01366865505193129,0.009798138944061577,0.007492065325910051,0.01133600823081967,0.009656822049345376,0.01609779466866323,0.0103759869098837,0.010666680253337606,0.04061788625809278,0.010002137875900546,0.012271556643904133,0.005783544180077296,0.013179539849270495,0.005508890746445574,0.009040698536751837,0.0042288386350764606,0.01605976575009851,0.008770123163256274,0.016679422207242552,0.011619770138027464,0.007902290877235076,0.009919226807869162,0.011361947961793468,0.01229129636846115,0.012352220022831224,0.009577483973172478,0.02050474411772081,0.010932251624837231,0.02431346006017229,0.007651352623600194,0.011106211841392226,0.016967339840995136,0.00886939720327784,0.00903950603121258,0.008012652944725963,0.011880504221093312,0.009375261042244294
HEROMOTOCO.NS,0.029049270442087965,0.0216532331894259,0.01353472967211972,0.01370306932088963,0.01448902377951781,0.036041278476682995,0.019614939790940002,0.01629083355341819,0.01256144859622658,0.015250193539173252,0.01089588818520479,0.013206272963600873,0.013608122393158097,0.015109165108486932,0.01159769861609193,0.02182697745525141,0.014307452168594432,0.01645420979658726,0.008623493113028843,0.010002137875900546,0.0655641825706397,0.02370372145359846,0.01028874676082972,0.010046299911654444,0.016407883585092552,0.011731724963758077,0.0035921531702827526,0.029031733851224803,0.010461119976788388,0.019097120794725548,0.023603862151876934,0.02332558247666769,0.013431375099082299,0.012455037639353463,0.014559238842861475,0.017293008019271913,0.015583182048699065,0.010171282561787686,0.007824810924141596,0.02508601885694604,0.011652618758062755,0.012370827828062505,0.025730022669836764,0.012030646570657024,0.016813271607628945,0.01258168481950812,0.017104976190978675,0.01574522745301025
HINDALCO.NS,0.031690775527139003,0.024266752483972844,0.009552569459457594,0.00491038601438539,0.01834689744639146,0.020291930064697834,0.020595360838877492,0.018404447867627637,0.012767502041583431,0.018326705582428163,0.002316991894042328,0.0178214644168718,0.02823095117798937,0.0201667600888436,0.018553954058807807,0.014822658625695404,0.024049362938662906,0.020168178448666765,0.011457380186735339,0.012271556643904133,0.02370372145359846,0.07248082449759045,0.004019369196084228,0.014986372675430546,0.014490088881463997,0.015745214637396202,0.003749551279443802,0.03485225424418301,0.013346272138842655,0.024210352869534726,0.020123815109732032,0.012915264984106927,0.007119188754295283,0.021290897811061107,0.031145702193474595,0.020625645568454462,0.020517243436716084,0.01475963733656604,0.013772823869454609,0.034767959734290275,0.013362329826352163,0.005301211780020966,0.04992852952263414,0.013388307258409353,0.013097792114601622,0.014818763528279096,0.01449983285437816,0.018587835537780564
HINDUNILVR.NS,0.007761591427474148,0.008183034788873705,0.007357140801002306,0.011699332759539351,0.006479132021356689,0.009140475739058853,0.006551871436020299,0.0030489679483826563,0.005182963333741667,0.004150469539824369,0.014164867583015387,0.0082451874798566,0.003921381920615585,0.0010850019481458638,0.002119499751818905,0.007603437962182947,0.005815651586783408,0.006330078065477984,0.005085820649582333,0.005783544180077296,0.01028874676082972,0.004019369196084228,0.036919381738366036,0.005846514965796456,0.0016124603481894428,0.006656156369358638,0.009278544040259287,0.008955083504310266,0.008533741138887914,0.002598933079866238,0.011161616209608307,0.008884261076580462,0.017276679482340882,0.007879739971187653,0.0027279069862738707,0.011883211079984388,0.005048206126477812,0.007170597809169485,0.001573549759660886,0.008755637039136031,0.004868933001431576,0.013002450099279222,0.00646072731563535,0.00670365789088132,0.004655486744487629,0.006741116154447915,0.008988312374873478,0.0021343155195373315
